title,year,duration,genres,rating,votes,director,stars
Django Unchained,2013-01-18,PT2H45M,"Drama, Del oeste",8.5,1875858,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio"
Rear Window,1954-09-01,PT1H52M,"Drama, Misterio, Suspense",8.5,567876,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey"
Modern Times,1936-02-25,PT1H27M,"Comedia, Drama, Romance",8.5,284703,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman"
C&apos;era una volta il West,1968-12-21,PT2H46M,"Drama, Del oeste",8.5,383275,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale"
City Lights,1931-03-07,PT1H27M,"Comedia, Drama, Romance",8.5,216018,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee"
Apocalypse Now,1979-11-07,PT2H27M,"Drama, Misterio, Bélico",8.4,768383,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall"
WALL·E,2008-08-06,PT1H38M,"Animación, Aventura, Familiar",8.4,1315848,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin"
Memento,2001-01-19,PT1H53M,"Drama, Misterio, Suspense",8.4,1431104,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
Dune: Part Two,2024-03-01,PT2H46M,"Acción, Aventura, Drama",8.4,732130,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson"
Raiders of the Lost Ark,1981-10-05,PT1H55M,"Acción, Aventura",8.4,1107681,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman"
Avengers: Infinity War,2018-04-27,PT2H29M,"Acción, Aventura, Ciencia ficción",8.4,1364970,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
Das Leben der Anderen,2007-02-16,PT2H17M,"Drama, Misterio, Suspense",8.4,442305,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch"
Spider-Man: Into the Spider-Verse,2018-12-21,PT1H57M,"Animación, Acción, Aventura",8.4,784182,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld"
Sunset Blvd.,1974-02-14,PT1H50M,"Drama, Cine negro",8.4,260567,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim"
Witness for the Prosecution,1958-11-13,PT1H56M,"Crimen, Drama, Misterio",8.4,161363,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton"
Paths of Glory,1986-10-13,PT1H28M,"Drama, Bélico",8.4,238189,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou"
The Shining,1980-06-13,PT2H26M,"Drama, Terror",8.4,1221502,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd"
The Great Dictator,1941-03-07,PT2H5M,"Comedia, Drama, Bélico",8.4,258959,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie"
Inglourious Basterds,2009-09-18,PT2H33M,"Aventura, Drama, Bélico",8.4,1775722,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth"
12th Fail,2023-10-27,PT2H27M,"Biografía, Drama",8.7,170175,Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi"
Aliens,1986-10-29,PT2H17M,"Acción, Aventura, Terror",8.4,838639,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn"
Tengoku to jigoku,1963-03-01,PT2H23M,"Crimen, Drama, Misterio",8.4,71103,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai"
Good Will Hunting,1998-02-27,PT2H6M,"Drama, Romance",8.4,1211026,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck"
Avengers: Endgame,2019-04-25,PT3H1M,"Acción, Aventura, Ciencia ficción",8.4,1438576,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo"
The Dark Knight Rises,2012-07-20,PT2H44M,"Acción, Crimen, Drama",8.4,1986986,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway"
Coco,2017-12-01,PT1H45M,"Animación, Aventura, Drama",8.4,702688,"Adrian Molina, Lee Unkrich","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
Amadeus,1984-09-19,PT2H40M,"Biografía, Drama, Música",8.4,466707,Miloš Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge"
Toy Story,1996-03-14,PT1H21M,"Animación, Aventura, Comedia",8.3,1169846,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles"
